Tweets,Positive,Negative
 کمینی منہ بند رکھ اپنا ,yes,
 تیری ماں کے یار مودی کی بھی گانڈ مارے گے اور تجھ جیسے کتے جو پاکستان پر بھوکتے ہیں ان کی بہن بھی چودے گے ,,no
 گورایا تیری ماں کو لن دینے کے لیے مجھے موقع ملا تو میں ضرور دوں گا کتی کے پتر تیری گانڈ میں نہ گولی ماری تو  ,,no
 ہو گی بولتی بند گندی رن ,yes,
 مریم کی گانڈ آج رات خان مارے گا پھر توں ماموں بنے گا اور ناچے گا  ,,no
 مریم کی گانڈ میں مرچیں دیں گے آج رات اور پھر وہ بتا دے گی کے۔اسے قطری شہزادے نے چار کروڑ کب دیے تھے ,,no
اس کنجھر خسرے کی سر عام روڈ پر گانڈ ماری چاہیے۔ بیغیرت باپ کا بیغیرت بیٹا بے غیرت ہوگا تیرا باب  ,,no
 تمہاری سنتا کون ہے خامخوا بکواس بولتی بند کرو بکواس روز نئے ڈرامے سناتے ہیں ,yes,
 اور تم جیسے کتوں کی پھانسی سے پہلے گانڈ بھی ماری جائے  ,,no
 تیری گانڈ مارے بندہ اور رونے بھی نہ دے  ,,no
اس کی بولتی بند ھے آج کل کیونکہ اس کے اوپر سے ابھی تک ہولی کا رنگ نہیں اترا  ہندو کی بچی ,yes,
 جس بندے کی گانڈ اُس کا اپنا ماموں مارے اس کی ذہنی حالت ایسی ہی ہو گی  ,,no
 میرے باپ نے تو تیری امی کی گانڈ بھی ماری تھی وہ تجھے یاد نہیں  ,,no
 آپ بھی تو اپنے اس حسن کے ساتھ نیازی کے بستر کی زینت بنی تھی ,,no
 تیری بہن کی تو بولتی بند ہوئی پڑی ہے ,yes,
 لکھ دی لعنت ہوے تیرے اوتون,yes,
بیغیرت انسان کتے کے بچے,yes,
" اس کی ہو یا نہ ہو تم لوگوں کی وہ ایسی گانڈ مارے گا نہ، دنیا میں نہ کسی کو بتا سکو گے نہ چھپا سکو گے  ",,no
 تم جس طرح بھی بھونکتے رہو۔لیکن خان نے تمھاری گانڈ ماری ہے  ,,no
غدار کی اولاد ,yes,
حرام پے پلے ھوے حرامی,yes,
 یہ رنڈی پاکستان وآپس آئے تو عوام کو چاہیئے جہاں بھی نظر آئے اس کو پکڑ کہ اس رنڈی کی گانڈ کا کیڑا مارے ,,no
 کیوں اپوزیشن نے تیری شلوار اتار کر گانڈ ماری ہے ؟  ,,no
